QBED1,*,,,,,,,,,,,,
QBED1,0.00000+-0.0000,*,,,,,,,,,,,
QBED2,0.00000+-0.0000,0.00901+-0.0091,*,,,,,,,,,,
QBED2,0.07207+-0.0297,0.01802+-0.0121,0.01802+-0.0121,*,,,,,,,,,
QLL1,0.02703+-0.0139,0.00000+-0.0000,0.00000+-0.0000,0.03604+-0.0148,*,,,,,,,,
QLL1,0.54955+-0.0345,0.10811+-0.0297,0.00901+-0.0091,0.09009+-0.0192,0.13514+-0.0339,*,,,,,,,
QLL3,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,*,,,,,,
QLL3,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.04505+-0.0152,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,*,,,,,
QRL1,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.01802+-0.0121,0.00000+-0.0000,0.01802+-0.0121,0.00000+-0.0000,0.00000+-0.0000,*,,,,
QRL1,0.01802+-0.0182,0.00000+-0.0000,0.00000+-0.0000,0.02703+-0.0139,0.03604+-0.0278,0.21622+-0.0364,0.00000+-0.0000,0.00000+-0.0000,0.03604+-0.0201,*,,,
QRL2,0.68468+-0.0243,0.39640+-0.0511,0.01802+-0.0182,0.54054+-0.0470,0.01802+-0.0121,0.80180+-0.0371,0.00000+-0.0000,0.00000+-0.0000,0.03604+-0.0201,0.15315+-0.0273,*,,
QRL2,0.01802+-0.0121,0.01802+-0.0182,0.01802+-0.0121,0.04505+-0.0203,0.00000+-0.0000,0.12613+-0.0278,0.00901+-0.0091,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.35135+-0.0459,*,
QTUR,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,0.00000+-0.0000,*
QTUR,0.05405+-0.0242,0.01802+-0.0121,0.00000+-0.0000,0.11712+-0.0333,0.02703+-0.0139,0.04505+-0.0152,0.00000+-0.0000,0.00901+-0.0091,0.00901+-0.0091,0.00000+-0.0000,0.05405+-0.0201,0.09009+-0.0303,0.04505+-0.0203           *
