"","QBED1_1","QBED1_2","QBED2_1","QBED2_2","QLL1_1","QLL1_2","QLL3_1","QLL3_2","QRL1_1","QRL1_2","QRL2_1","QRL2_2","QTUR_1","QTUR_2"
"QBED1_1",0,30,632,632,2212,2212,2142,2142,3767,3767,3801,3801,1061,1061
"QBED1_2",30,0,632,632,2212,2212,2142,2142,3767,3767,3801,3801,1061,1061
"QBED2_1",632,632,0,30,1628,1628,1511,1511,3198,3198,3233,3233,479,479
"QBED2_2",632,632,30,0,1628,1628,1511,1511,3198,3198,3233,3233,479,479
"QLL1_1",2212,2212,1628,1628,0,30,796,796,1571,1571,1606,1606,1156,1156
"QLL1_2",2212,2212,1628,1628,30,0,796,796,1571,1571,1606,1606,1156,1156
"QLL3_1",2142,2142,1511,1511,796,796,0,30,2051,2051,2086,2086,1166,1166
"QLL3_2",2142,2142,1511,1511,796,796,30,0,2051,2051,2086,2086,1166,1166
"QRL1_1",3767,3767,3198,3198,1571,1571,2051,2051,0,30,36,36,2723,2723
"QRL1_2",3767,3767,3198,3198,1571,1571,2051,2051,30,0,36,36,2723,2723
"QRL2_1",3801,3801,3233,3233,1606,1606,2086,2086,36,36,0,30,2758,2758
"QRL2_2",3801,3801,3233,3233,1606,1606,2086,2086,36,36,30,0,2758,2758
"QTUR_1",1061,1061,479,479,1156,1156,1166,1166,2723,2723,2758,2758,0,30
"QTUR_2",1061,1061,479,479,1156,1156,1166,1166,2723,2723,2758,2758,30,0
