counter1,OutcropSystem,SampCircle,SampCircleID,Plant,PlantID,FlwPos,FlowerID,rep,MeasureID,NDehAnth,Herkogamy.mm,PistilLength.mm,SepalLength.mm,SpurLength.mm,counter2
25,QBED1,1,QBED1-1,1*,QBED1-1-1*,31,QBED1-1-1*-31,1,QBED1-1-1*-1,20,3.92,20.7,14.94,31.48,25
26,QBED1,1,QBED1-1,1*,QBED1-1-1*,31,QBED1-1-1*-31,2,QBED1-1-1*-2,20,3.64,20.58,14.78,31.12,26
1,QBED1,1,QBED1-1,2,QBED1-1-2,1,QBED1-1-2-1,1,QBED1-1-2-1,24,5.16,20,14.51,29.4,1
2,QBED1,1,QBED1-1,2,QBED1-1-2,1,QBED1-1-2-1,2,QBED1-1-2-2,24,5.28,20.09,14.74,29.46,2
3,QBED1,1,QBED1-1,3,QBED1-1-3,21,QBED1-1-3-21,1,QBED1-1-3-1,15,0,16.53,16.98,31.58,3
4,QBED1,1,QBED1-1,3,QBED1-1-3,21,QBED1-1-3-21,2,QBED1-1-3-2,15,0,16.04,16.85,31.05,4
5,QBED1,1,QBED1-1,4,QBED1-1-4,211,QBED1-1-4-211,1,QBED1-1-4-1,14,1.33,19.55,14.66,32.36,5
6,QBED1,1,QBED1-1,4,QBED1-1-4,211,QBED1-1-4-211,2,QBED1-1-4-2,14,1.48,19.68,14.68,31.5,6
27,QBED1,1,QBED1-1,43*,QBED1-1-43*,1,QBED1-1-43*-1,1,QBED1-1-43*-1,30,6.77,21.81,15.51,30.61,27
28,QBED1,1,QBED1-1,43*,QBED1-1-43*,1,QBED1-1-43*-1,2,QBED1-1-43*-2,30,6.4,21.88,15.45,30.65,28
7,QBED1,1,QBED1-1,49,QBED1-1-49,41,QBED1-1-49-41,1,QBED1-1-49-1,20,4.94,21.82,18.96,30.94,7
8,QBED1,1,QBED1-1,49,QBED1-1-49,41,QBED1-1-49-41,2,QBED1-1-49-2,20,5.32,21.16,19.13,30.94,8
9,QBED1,1,QBED1-1,50,QBED1-1-50,1,QBED1-1-50-1,1,QBED1-1-50-1,14,3.83,16.73,14.4,28.24,9
10,QBED1,1,QBED1-1,50,QBED1-1-50,1,QBED1-1-50-1,2,QBED1-1-50-2,14,3.87,17.38,14.98,28.13,10
11,QBED1,1,QBED1-1,51,QBED1-1-51,1,QBED1-1-51-1,1,QBED1-1-51-1,12,5.12,18.51,14.73,29.29,11
12,QBED1,1,QBED1-1,51,QBED1-1-51,1,QBED1-1-51-1,2,QBED1-1-51-2,12,5.85,17.78,15.33,29.24,12
13,QBED1,1,QBED1-1,52,QBED1-1-52,1,QBED1-1-52-1,1,QBED1-1-52-1,19,2.12,17.43,12.39,29.31,13
14,QBED1,1,QBED1-1,52,QBED1-1-52,1,QBED1-1-52-1,2,QBED1-1-52-2,19,2.1,17.41,12.77,29.74,14
15,QBED1,1,QBED1-1,53,QBED1-1-53,21,QBED1-1-53-21,1,QBED1-1-53-1,13,2.05,17.92,12.65,31.99,15
16,QBED1,1,QBED1-1,53,QBED1-1-53,21,QBED1-1-53-21,2,QBED1-1-53-2,13,2.3,17.51,13.47,32.69,16
29,QBED1,1,QBED1-1,6*,QBED1-1-6*,1,QBED1-1-6*-1,1,QBED1-1-6*-1,17,2.97,20.42,15.73,29.28,29
30,QBED1,1,QBED1-1,6*,QBED1-1-6*,1,QBED1-1-6*-1,2,QBED1-1-6*-2,17,2.88,19.5,16.27,29.37,30
17,QBED1,1,QBED1-1,61,QBED1-1-61,1,QBED1-1-61-1,1,QBED1-1-61-1,28,1.88,18.81,14.87,31.18,17
18,QBED1,1,QBED1-1,61,QBED1-1-61,1,QBED1-1-61-1,2,QBED1-1-61-2,28,1.84,18.88,14.96,31.14,18
19,QBED1,1,QBED1-1,62,QBED1-1-62,21,QBED1-1-62-21,1,QBED1-1-62-1,20,3.95,20.69,16.13,34.4,19
20,QBED1,1,QBED1-1,62,QBED1-1-62,21,QBED1-1-62-21,2,QBED1-1-62-2,20,4.33,20.47,16.35,34.38,20
21,QBED1,1,QBED1-1,64,QBED1-1-64,41,QBED1-1-64-41,1,QBED1-1-64-1,22,3.5,20.28,13.2,28.94,21
22,QBED1,1,QBED1-1,64,QBED1-1-64,41,QBED1-1-64-41,2,QBED1-1-64-2,22,3.49,20.09,13.01,29.08,22
23,QBED1,1,QBED1-1,65,QBED1-1-65,1,QBED1-1-65-1,1,QBED1-1-65-1,17,3.92,19.3,14,30.19,23
24,QBED1,1,QBED1-1,65,QBED1-1-65,1,QBED1-1-65-1,2,QBED1-1-65-2,17,4.06,19.48,14.44,30.3,24
31,QBED1,1,QBED1-1,N2,QBED1-1-N2,31,QBED1-1-N2-31,1,QBED1-1-N2-1,18,2.13,19.65,17.77,33.54,31
32,QBED1,1,QBED1-1,N2,QBED1-1-N2,31,QBED1-1-N2-31,2,QBED1-1-N2-2,18,2.77,19.8,17.54,32.8,32
33,QBED1,1,QBED1-1,N3,QBED1-1-N3,21,QBED1-1-N3-21,1,QBED1-1-N3-1,23,0.18,18.59,16.95,32.25,33
34,QBED1,1,QBED1-1,N3,QBED1-1-N3,21,QBED1-1-N3-21,2,QBED1-1-N3-2,23,0.11,19.21,17.49,32.67,34
35,QBED1,1,QBED1-1,N4,QBED1-1-N4,11,QBED1-1-N4-11,1,QBED1-1-N4-1,24,4.77,20.57,15.96,30.74,35
36,QBED1,1,QBED1-1,N4,QBED1-1-N4,11,QBED1-1-N4-11,2,QBED1-1-N4-2,24,4.89,20.83,15.93,30.79,36
37,QBED1,1,QBED1-1,N43*,QBED1-1-N43*,1,QBED1-1-N43*-1,1,QBED1-1-N43*-1,24,4.95,20.29,15.12,27.66,37
38,QBED1,1,QBED1-1,N43*,QBED1-1-N43*,1,QBED1-1-N43*-1,2,QBED1-1-N43*-2,24,5.32,20.18,15.33,27.81,38
39,QBED1,1,QBED1-1,N44*,QBED1-1-N44*,31,QBED1-1-N44*-31,1,QBED1-1-N44*-1,26,3.38,20.42,15.33,31.62,39
40,QBED1,1,QBED1-1,N44*,QBED1-1-N44*,31,QBED1-1-N44*-31,2,QBED1-1-N44*-2,26,3.35,20.69,15.32,31.54,40
41,QBED1,1,QBED1-1,N51,QBED1-1-N51,1,QBED1-1-N51-1,1,QBED1-1-N51-1,11,1.77,17.9,14.57,31.71,41
42,QBED1,1,QBED1-1,N51,QBED1-1-N51,1,QBED1-1-N51-1,2,QBED1-1-N51-2,11,1.8,17.43,14.08,31.02,42
43,QBED1,1,QBED1-1,N52,QBED1-1-N52,1,QBED1-1-N52-1,1,QBED1-1-N52-1,20,4.11,20.11,13.92,33.3,43
44,QBED1,1,QBED1-1,N52,QBED1-1-N52,1,QBED1-1-N52-1,2,QBED1-1-N52-2,20,4.11,19.8,14.72,33.1,44
47,QBED1,1,QBED1-1,N6*,QBED1-1-N6*,1,QBED1-1-N6*-1,1,QBED1-1-N6*-1,28,4.59,20.56,14.85,30.97,47
48,QBED1,1,QBED1-1,N6*,QBED1-1-N6*,1,QBED1-1-N6*-1,2,QBED1-1-N6*-2,28,4.57,20.31,14.78,30.62,48
53,QBED1,2,QBED1-2,10,QBED1-2-10,1,QBED1-2-10-1,1,QBED1-2-10-1,10,0.42,19.33,14.61,31.65,53
54,QBED1,2,QBED1-2,10,QBED1-2-10,1,QBED1-2-10-1,2,QBED1-2-10-2,10,0.55,19.18,14.9,32.02,54
55,QBED1,2,QBED1-2,11,QBED1-2-11,1,QBED1-2-11-1,1,QBED1-2-11-1,11,4.1,20.14,17.92,29.5,55
56,QBED1,2,QBED1-2,11,QBED1-2-11,1,QBED1-2-11-1,2,QBED1-2-11-2,11,4.19,20.26,17.87,29.55,56
57,QBED1,2,QBED1-2,12,QBED1-2-12,31,QBED1-2-12-31,1,QBED1-2-12-1,19,2.36,19.98,16.45,31.07,57
58,QBED1,2,QBED1-2,12,QBED1-2-12,31,QBED1-2-12-31,2,QBED1-2-12-2,19,2.05,20.24,16.95,31.43,58
59,QBED1,2,QBED1-2,33,QBED1-2-33,111,QBED1-2-33-111,1,QBED1-2-33-1,21,5.18,20.31,16.08,32.03,59
60,QBED1,2,QBED1-2,33,QBED1-2-33,111,QBED1-2-33-111,2,QBED1-2-33-2,21,4.76,20.66,16.48,32.32,60
63,QBED1,2,QBED1-2,34,QBED1-2-34,1,QBED1-2-34-1,1,QBED1-2-34-1,19,0.69,20.87,16.27,33.54,63
64,QBED1,2,QBED1-2,34,QBED1-2-34,1,QBED1-2-34-1,2,QBED1-2-34-2,19,0.61,20.72,16.19,33.5,64
65,QBED1,2,QBED1-2,36,QBED1-2-36,1,QBED1-2-36-1,1,QBED1-2-36-1,19,5.18,19.04,14.76,27.81,65
66,QBED1,2,QBED1-2,36,QBED1-2-36,1,QBED1-2-36-1,2,QBED1-2-36-2,19,4.74,19.08,14.41,27.89,66
67,QBED1,2,QBED1-2,37,QBED1-2-37,1,QBED1-2-37-1,1,QBED1-2-37-1,10,0,18.03,15.38,29.37,67
68,QBED1,2,QBED1-2,37,QBED1-2-37,1,QBED1-2-37-1,2,QBED1-2-37-2,10,0,17.92,15.72,29.77,68
69,QBED1,2,QBED1-2,67,QBED1-2-67,1,QBED1-2-67-1,1,QBED1-2-67-1,11,4.1,17.42,13.94,28.65,69
70,QBED1,2,QBED1-2,67,QBED1-2-67,1,QBED1-2-67-1,2,QBED1-2-67-2,11,4.46,17.36,13.76,28.72,70
71,QBED1,2,QBED1-2,68,QBED1-2-68,1,QBED1-2-68-1,1,QBED1-2-68-1,15,2.43,16.46,10.39,28.74,71
72,QBED1,2,QBED1-2,68,QBED1-2-68,1,QBED1-2-68-1,2,QBED1-2-68-2,15,2.37,16.35,10.3,28.63,72
73,QBED1,2,QBED1-2,69,QBED1-2-69,1,QBED1-2-69-1,1,QBED1-2-69-1,29,3.48,20.89,16.21,33.95,73
74,QBED1,2,QBED1-2,69,QBED1-2-69,1,QBED1-2-69-1,2,QBED1-2-69-2,29,3.31,21.03,15.76,33.89,74
75,QBED1,2,QBED1-2,70,QBED1-2-70,1,QBED1-2-70-1,1,QBED1-2-70-1,15,0,16.34,15.08,34.02,75
76,QBED1,2,QBED1-2,70,QBED1-2-70,1,QBED1-2-70-1,2,QBED1-2-70-2,15,0,16.74,15.27,34.44,76
77,QBED1,2,QBED1-2,71,QBED1-2-71,1,QBED1-2-71-1,1,QBED1-2-71-1,12,0.58,16.45,13.49,30.19,77
78,QBED1,2,QBED1-2,71,QBED1-2-71,1,QBED1-2-71-1,2,QBED1-2-71-2,12,0.66,16.18,13.52,30.44,78
49,QBED1,2,QBED1-2,9,QBED1-2-9,21,QBED1-2-9-21,1,QBED1-2-9-1,18,7.53,24.05,16.98,31.95,49
50,QBED1,2,QBED1-2,9,QBED1-2-9,21,QBED1-2-9-21,2,QBED1-2-9-2,18,7.08,23.94,16.6,32.06,50
79,QBED1,2,QBED1-2,N11,QBED1-2-N11,1,QBED1-2-N11-1,1,QBED1-2-N11-1,12,3.06,20.26,16.16,29.81,79
80,QBED1,2,QBED1-2,N11,QBED1-2-N11,1,QBED1-2-N11-1,2,QBED1-2-N11-2,12,2.57,20.41,16.3,29.95,80
81,QBED1,2,QBED1-2,N12,QBED1-2-N12,31,QBED1-2-N12-31,1,QBED1-2-N12-1,23,5.33,23.83,18.68,32.98,81
82,QBED1,2,QBED1-2,N12,QBED1-2-N12,31,QBED1-2-N12-31,2,QBED1-2-N12-2,23,5.23,24.07,18.92,32.72,82
83,QBED1,2,QBED1-2,N13,QBED1-2-N13,1,QBED1-2-N13-1,1,QBED1-2-N13-1,28,6.15,22.16,17.04,31.64,83
84,QBED1,2,QBED1-2,N13,QBED1-2-N13,1,QBED1-2-N13-1,2,QBED1-2-N13-2,28,5.71,22.61,17.11,31.64,84
87,QBED1,2,QBED1-2,N33,QBED1-2-N33,411,QBED1-2-N33-411,1,QBED1-2-N33-1,26,4.67,21.97,15.62,33.6,87
88,QBED1,2,QBED1-2,N33,QBED1-2-N33,411,QBED1-2-N33-411,2,QBED1-2-N33-2,26,4.26,21.24,15.61,33.8,88
91,QBED1,2,QBED1-2,N34,QBED1-2-N34,1,QBED1-2-N34-1,1,QBED1-2-N34-1,21,3.65,19.33,14.5,31.51,91
92,QBED1,2,QBED1-2,N34,QBED1-2-N34,1,QBED1-2-N34-1,2,QBED1-2-N34-2,21,3.29,19.45,14.09,31.33,92
93,QBED1,2,QBED1-2,N35,QBED1-2-N35,1,QBED1-2-N35-1,1,QBED1-2-N35-1,23,2.87,19.52,15.3,31.76,93
94,QBED1,2,QBED1-2,N35,QBED1-2-N35,1,QBED1-2-N35-1,2,QBED1-2-N35-2,23,2.94,19.96,15.25,31.92,94
95,QBED1,2,QBED1-2,N37,QBED1-2-N37,1,QBED1-2-N37-1,1,QBED1-2-N37-1,15,0.2,19.45,16.8,31.9,95
96,QBED1,2,QBED1-2,N37,QBED1-2-N37,1,QBED1-2-N37-1,2,QBED1-2-N37-2,15,0.4,19.33,16.53,31.84,96
97,QBED1,2,QBED1-2,N71,QBED1-2-N71,21,QBED1-2-N71-21,1,QBED1-2-N71-1,18,2.73,19.18,15.22,32.04,97
98,QBED1,2,QBED1-2,N71,QBED1-2-N71,21,QBED1-2-N71-21,2,QBED1-2-N71-2,18,2.58,18.93,14.95,31.99,98
99,QBED1,2,QBED1-2,N8,QBED1-2-N8,1,QBED1-2-N8-1,1,QBED1-2-N8-1,32,6.45,20.75,15.16,29.86,99
100,QBED1,2,QBED1-2,N8,QBED1-2-N8,1,QBED1-2-N8-1,2,QBED1-2-N8-2,32,6.71,20.78,15.11,29.69,100
101,QBED1,2,QBED1-2,N9,QBED1-2-N9,1,QBED1-2-N9-1,1,QBED1-2-N9-1,18,6.52,21.58,16.12,31.87,101
102,QBED1,2,QBED1-2,N9,QBED1-2-N9,1,QBED1-2-N9-1,2,QBED1-2-N9-2,18,6.82,22.14,15.67,31.4,102
103,QBED2,1,QBED2-1,12,QBED2-1-12,1,QBED2-1-12-1,1,QBED2-1-12-1,16,3.06,19.36,13.9,28.58,103
104,QBED2,1,QBED2-1,12,QBED2-1-12,1,QBED2-1-12-1,2,QBED2-1-12-2,16,2.97,19.05,13.69,28.28,104
107,QBED2,1,QBED2-1,13,QBED2-1-13,41,QBED2-1-13-41,1,QBED2-1-13-1,29,4.93,23.43,18.45,31.83,107
108,QBED2,1,QBED2-1,13,QBED2-1-13,41,QBED2-1-13-41,2,QBED2-1-13-2,29,5.32,23.82,18.34,31.8,108
109,QBED2,1,QBED2-1,14,QBED2-1-14,31,QBED2-1-14-31,1,QBED2-1-14-1,21,1.13,18.34,15.48,33.28,109
